dataset,algorithm,pre_optimization_runtime_sec,optimized_runtime_sec,speedup,delta_sec
facebook,EgoNet-APM-W1,8.520406624861062,2.3804859502706677,3.5792719649919666,6.139920674590394
facebook,EgoNet-CC-W1,5.523137166490779,2.0080271586310117,2.7505291164768013,3.515110007859767
facebook,Louvain,0.3188739913515747,0.3003141501918435,1.0618014207717985,0.018559841159731194
enron,EgoNet-APM-W1,10.423179466789588,2.86065275860019,3.6436367313207163,7.562526708189397
enron,EgoNet-CC-W1,3.5842536251991985,1.6412684834562241,2.183831384887979,1.9429851417429744
enron,Louvain,1.9705433750059456,1.9513930663932115,1.0098136602730325,0.019150308612734035
astro_ph,EgoNet-APM-W1,9.705894549936056,2.895715908193961,3.3518117307265682,6.8101786417420955
astro_ph,EgoNet-CC-W1,5.295734141673893,2.479087825026363,2.136162377231463,2.8166463166475295
astro_ph,Louvain,1.5773856247775258,1.6320185750257223,0.9665243085561477,-0.05463295024819659
