dataset,algorithm,clusterer,feature,metric,seeds,n,mean,std
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.21515511762796796,0.00030012714747545033
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.10412976076987622,0.0009678530769186171
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.39282778874780094,0.0011233493043369025
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.6183150183150183,0.0016381450384613785
astro_ph,EgoNet-APM-W4,APM,W4,runtime_sec,1 2 3 4 5,5.0,5.016085999784991,0.07782633922302641
astro_ph,EgoNet-APM-W4,APM,W4,auc,1 2 3 4 5,5.0,0.9743176,0.003814953495784729
astro_ph,EgoNet-APM-W4,APM,W4,average_precision,1 2 3 4 5,5.0,0.9743089226814651,0.0038376294147824796
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_count,1 2 3 4 5,5.0,41974.0,34.40930106817051
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_mean_size,1 2 3 4 5,5.0,9.280330452782108,0.0069371023242492625
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8989027437272533,0.00021614147787133489
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p10,1 2 3 4 5,5.0,0.6666666666666666,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p25,1 2 3 4 5,5.0,0.8029457804627227,0.001808720653195503
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.21515511762796796,0.00030012714747545033
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.10412976076987622,0.0009678530769186171
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.39282778874780094,0.0011233493043369025
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.6183150183150183,0.0016381450384613785
astro_ph,EgoNet-CC-W1,CC,W1,runtime_sec,1 2 3 4 5,5.0,2.4347507166676223,0.03846895575495743
astro_ph,EgoNet-CC-W1,CC,W1,auc,1 2 3 4 5,5.0,0.9856966,0.0021621611410808585
astro_ph,EgoNet-CC-W1,CC,W1,average_precision,1 2 3 4 5,5.0,0.9856207980534838,0.0022391328564303607
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_count,1 2 3 4 5,5.0,22139.8,9.20326029187483
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_mean_size,1 2 3 4 5,5.0,17.594578199974727,0.005770079476949564
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_mean_density,1 2 3 4 5,5.0,0.793334084855492,0.00023400319600955195
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p10,1 2 3 4 5,5.0,0.31915860772421717,0.00034087198695277723
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p25,1 2 3 4 5,5.0,0.5847130832430939,0.0016169344554723458
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
