dataset,algorithm,pre_pair_runtime_sec,post_pair_runtime_sec,speedup,delta_sec
facebook,EgoNet-APM-W1,4.223364025121555,3.9127125500235707,1.0793954248175253,0.3106514750979841
facebook,EgoNet-CC-W1,2.4776262336410584,2.310056191449985,1.0725393792632778,0.1675700421910733
facebook,Louvain,0.3263311670627445,0.3300428002141416,0.9887540853822931,-0.003711633151397109
enron,EgoNet-APM-W1,6.042208458436653,6.071900541801005,0.9951099193473374,-0.029692083364352584
enron,EgoNet-CC-W1,1.7757801918312908,1.7310885663609952,1.0258170646717655,0.04469162547029559
enron,Louvain,1.9152364501729608,1.9962544753681868,0.9594149813087918,-0.08101802519522594
astro_ph,EgoNet-APM-W1,5.3254766331985595,5.003089274838567,1.064437658544559,0.3223873583599923
astro_ph,EgoNet-CC-W1,2.5633463001810015,2.445061325188726,1.0483770994918278,0.11828497499227542
astro_ph,Louvain,1.7289249417837709,1.585200549615547,1.0906663779564554,0.14372439216822386
