dataset,algorithm,serial_runtime_sec,multiprocess_runtime_sec,speedup,delta_sec
facebook,EgoNet-APM-W1,4.044662900036201,2.3804859502706677,1.6990912715012294,1.6641769497655332
facebook,EgoNet-CC-W1,2.4019532084465025,2.0080271586310117,1.1961756583432133,0.39392604981549084
facebook,Louvain,0.31875350838527083,0.3003141501918435,1.0614002309969348,0.018439358193427346
enron,EgoNet-APM-W1,6.020095958188176,2.86065275860019,2.1044483431585745,3.159443199587986
enron,EgoNet-CC-W1,1.6521010586060583,1.6412684834562241,1.0066001237817122,0.010832575149834156
enron,Louvain,2.0105085083283485,1.9513930663932115,1.0302939694484008,0.05911544193513696
astro_ph,EgoNet-APM-W1,4.9924011582508685,2.895715908193961,1.7240645548563487,2.0966852500569075
astro_ph,EgoNet-CC-W1,2.38189748339355,2.479087825026363,0.9607959263678851,-0.09719034163281304
astro_ph,Louvain,1.62327593350783,1.6320185750257223,0.9946430502374922,-0.008742641517892391
