dataset,batch,nodes,edges,events,affected_egos,ego_edge_updates,score_delta_pairs,init_runtime_sec,dynamic_update_sec,full_egonet_sec,louvain_sec,speedup_vs_full,dynamic_modularity,full_modularity,louvain_modularity,dynamic_density,full_density,louvain_density,dynamic_conductance,full_conductance,louvain_conductance,score_edges
facebook,1.0,4039.0,88184.0,50.0,923.0,6909.0,9915.0,5.685117082903162,1.9043039169628173,6.206444833893329,0.32145241601392627,3.2591671836667833,0.0009140277865232599,0.0009140277865232599,0.8348216600129159,0.16954922843069345,0.16954922843069345,0.26447833473324284,0.6522775402781125,0.6522775402781125,0.05170504046516836,192551.0
facebook,2.0,4039.0,88184.0,50.0,1067.0,8829.0,9234.0,0.0,2.1806452500168234,6.49905762495473,0.30865208408795297,2.9803369552679837,0.0009140981916905939,0.0009140277865232599,0.8347873767471582,0.16954785080636967,0.16954922843069345,0.26447615038641065,0.6522732736606796,0.6522775402781125,0.05183019314497735,192681.0
enron,1.0,36692.0,183781.0,50.0,435.0,1227.0,29380.0,5.884478833992034,0.862707416061312,7.129956832854077,2.0591850830242038,8.264629120039181,0.05561134420121047,0.05557528456958317,0.6109090347388783,0.18488946133959108,0.1862272561332145,0.8815048274095041,0.8495260456002195,0.8474682343177481,0.018287890858660404,646331.0
enron,2.0,36692.0,183781.0,50.0,578.0,1875.0,36919.0,0.0,1.384366000071168,6.8966355829034,2.045605666935444,4.981800753954413,0.05555219084729859,0.05565883384877746,0.6111693573829352,0.186628463951166,0.18924082843312026,0.8799848066309452,0.847902519189884,0.8451776861215233,0.018390251258809755,647755.0
astro_ph,1.0,18771.0,198000.0,50.0,1052.0,3495.0,6356.0,5.63519262499176,0.71928233304061,7.149348000064492,1.753831208916381,9.939557349952105,0.040223166628405235,0.0402551601494746,0.6287822240460157,0.18967734244840814,0.18967733540412796,0.8630340905569106,0.8666821712506421,0.8666851198884103,0.023426013907571794,203118.0
astro_ph,2.0,18771.0,198000.0,50.0,1168.0,3567.0,5582.0,0.0,0.7751403751317412,6.5655567911453545,1.7335518330801278,8.470151990250136,0.03998475387715548,0.040000661233547584,0.627775970513213,0.18659744130749462,0.1865974278430649,0.8664190614825277,0.8692026676686939,0.8691996107468889,0.023096577541612987,203124.0
