dataset,algorithm,pre_array_runtime_sec,array_runtime_sec,speedup,delta_sec
facebook,EgoNet-APM-W1,3.9858439080417156,4.401623300369829,0.9055395330415532,-0.4157793923281137
facebook,EgoNet-CC-W1,2.369671841757372,2.3102802585810425,1.0257075231265698,0.05939158317632964
facebook,Louvain,0.31669407500885427,0.31884512458927927,0.9932536224814607,-0.002151049580425002
enron,EgoNet-APM-W1,6.218592716613784,6.605773883406073,0.9413874629034911,-0.3871811667922884
enron,EgoNet-CC-W1,1.8083369502797724,1.7825154168065638,1.0144860084966159,0.02582153347320859
enron,Louvain,1.9259016750380398,1.936653875000775,0.9944480528495414,-0.010752199962735132
astro_ph,EgoNet-APM-W1,5.016085999784991,5.411774158431217,0.926883837524933,-0.39568815864622575
astro_ph,EgoNet-CC-W1,2.4347507166676223,2.450495325168595,0.993574928162783,-0.01574460850097248
astro_ph,Louvain,1.5983566166367382,1.5538469998165965,1.028644787308786,0.04450961682014176
